iter	Passed	Remaining
0	137	137461
1	139	69625
2	141	46974
3	142	35577
4	144	28796
5	146	24269
6	149	21161
7	151	18734
8	152	16817
9	154	15288
10	156	14044
11	158	13032
12	160	12151
13	161	11390
14	163	10739
15	165	10179
16	167	9670
17	168	9208
18	170	8813
19	172	8459
20	174	8128
21	176	7831
22	178	7564
23	179	7314
24	181	7078
25	183	6865
26	184	6663
27	186	6481
28	188	6312
29	190	6173
30	192	6025
31	194	5884
32	196	5755
33	198	5627
34	199	5503
35	201	5393
36	203	5292
37	205	5199
38	207	5110
39	209	5021
40	210	4933
41	212	4845
42	214	4769
43	216	4693
44	217	4620
45	219	4548
46	221	4482
47	222	4420
48	224	4359
49	226	4304
50	228	4251
51	230	4194
52	232	4146
53	234	4103
54	236	4055
55	237	4008
56	239	3965
57	241	3919
58	243	3878
59	244	3837
60	246	3795
61	253	3827
62	254	3791
63	256	3756
64	258	3718
65	260	3688
66	262	3659
67	265	3633
68	267	3606
69	269	3575
70	270	3542
71	272	3512
72	274	3483
73	276	3454
74	277	3426
75	279	3401
76	281	3374
77	283	3349
78	285	3322
79	286	3299
80	288	3274
81	290	3251
82	291	3221
83	293	3200
84	295	3180
85	297	3158
86	298	3137
87	300	3115
88	302	3095
89	304	3075
90	306	3057
91	308	3040
92	310	3027
93	312	3008
94	313	2989
95	315	2971
96	317	2954
97	318	2935
98	320	2918
99	322	2902
100	324	2888
101	326	2874
102	328	2860
103	330	2845
104	332	2831
105	333	2815
106	335	2800
107	337	2786
108	339	2772
109	341	2761
110	342	2746
111	344	2733
112	346	2719
113	348	2707
114	350	2693
115	351	2679
116	353	2664
117	354	2652
118	356	2640
119	358	2628
120	360	2615
121	361	2601
122	363	2590
123	365	2582
124	367	2570
125	368	2557
126	369	2542
127	371	2533
128	373	2522
129	375	2510
130	376	2498
131	378	2488
132	379	2476
133	381	2465
134	383	2456
135	384	2445
136	386	2434
137	387	2422
138	389	2412
139	391	2405
140	393	2394
141	394	2382
142	396	2374
143	397	2365
144	400	2358
145	410	2399
146	412	2393
147	414	2388
148	416	2379
149	418	2371
150	420	2363
151	422	2355
152	425	2355
153	428	2352
154	432	2358
155	434	2350
156	436	2342
157	438	2336
158	440	2328
159	441	2319
160	442	2307
161	444	2299
162	446	2290
163	447	2283
164	449	2275
165	451	2266
166	452	2258
167	454	2250
168	456	2243
169	457	2235
170	459	2227
171	461	2219
172	463	2216
173	465	2209
174	467	2203
175	468	2195
176	471	2192
177	473	2185
178	474	2176
179	476	2168
180	477	2160
181	479	2152
182	480	2145
183	481	2137
184	483	2130
185	485	2122
186	486	2115
187	488	2107
188	489	2100
189	491	2094
190	492	2087
191	494	2080
192	495	2072
193	497	2064
194	498	2058
195	500	2052
196	501	2045
197	503	2038
198	505	2032
199	506	2026
